domain,crawl_count,use_optimizely,rank
avancar.es,1,0,360995
avansas.com,31,0,53339
avanza.se,91,0,8293
avclub.com,153,0,1260
aveeno.com,155,0,270723
aviewfrommyseat.com,31,0,46915
avogel.co.uk,31,0,158964
avvo.com,132,128,9921
awallpapermill.com,62,0,255505
awesomeweb.com,62,0,825682
awortheyread.com,31,0,358473
awwapp.com,1,0,76477
axa.co.uk,1,0,116559
axainsurance.com,7,0,108666
axar.az,13,0,9710
axial.net,2,0,182088
axosoft.com,17,0,90485
axure.com,51,0,30981
aynax.com,14,0,98947
azimo.com,12,12,49859
azuqua.com,31,26,848834
babble.com,119,0,11219
babycenter.com,12,0,1763
babycentre.co.uk,8,0,21800
babypark.nl,31,0,358292
babyshop.no,31,0,204330
babysignlanguage.com,2,0,252550
backcountry.com,39,21,3195
backerkit.com,93,0,13220
backlinko.com,36,0,23891
backlinkping.com,31,0,309632
backupassist.com,31,0,494331
backupify.com,50,0,183318
bactrack.com,25,0,299637
badasshelmetstore.com,31,0,256358
badcreditloans.com,2,0,395581
badenochandclark.com,1,0,773447
badgirlsbible.com,31,0,78433
badgirlsusa.com,2,0,153669
bagmasters.com,11,0,978902
bagsandbowsonline.com,31,30,183559
bakerross.co.uk,1,0,137887
bakerross.de,1,0,341453
balboapress.com,30,0,632969
baldur-garten.at,31,0,366884
baldur-garten.de,31,0,163407
balkaninsight.com,155,0,116926
bambeco.com,31,0,629268
bamboohr.com,93,0,8874
ban.jo,2,0,905899
bancopopular.com,24,0,17911
bandpage.com,17,0,604746
banfield.com,6,6,75309
bangalorecircle.com,31,0,577975
bangsarbabe.com,22,0,918094
bangsshoes.com,27,0,596835
bankgiroloterij.nl,20,0,217292
bankonyourself.com,31,0,609783
bannersonthecheap.com,1,0,271421
barackobama.com,3,0,231353
barbour.com,9,0,33843
baremetrics.com,4,0,91671
bareminerals.jp,31,0,499116
barenecessities.com,90,0,35680
bargainbabe.com,31,0,541228
bariatricadvantage.com,3,0,594138
bariatricchoice.com,7,0,790287
barkbox.com,30,0,41979
barkpost.com,6,0,52252
barratthomes.co.uk,6,0,128868
barzgumve.com,31,31,739250
basicslife.com,3,0,492816
batchbook.com,12,0,242148
batteriesplus.com,3,0,33645
battlebeavercustoms.com,31,0,219081
battlefield.com,182,169,3635
baumschule-horstmann.de,31,0,143721
baytobreakers.com,1,0,784888
bazaarvoice.com,91,0,22531
bbbank.de,1,0,34639
bbdakota.com,31,0,281680
bbs-tw.com,12,0,13231
bbs-usa.com,28,0,532720
bcash.com.br,56,0,76932
bcbsnc.com,62,0,50066
be2.be,14,0,882274
be2.com.ar,5,0,830236
be2.com.mx,5,0,556689
be2.cz,5,0,992002
be2.es,5,0,651728
be2.fr,20,0,232869
be2.it,5,0,841258
beanbagbazaar.co.uk,31,0,590952
beanstream.com,4,0,49500
beardbrand.com,30,0,77218
beat-it.nl,31,0,689179
beate-uhse.com,61,0,96137
beatingbowelcancer.org,1,0,876782
beatkidneydisease.com,1,0,542196
beautyandthemist.com,1,0,890573
beautygarage.jp,31,0,153165
beautyschoolsdirectory.com,1,0,498111
bebestore.com.br,83,0,87710
beck-shop.de,30,0,71115
becomeanex.org,21,0,677027
bedandbreakfast.com,15,0,72003
bedinabox.com,27,0,356072
bedrockdata.com,31,0,365780
bedroomfurniturediscounts.com,30,0,474545
beermenus.com,52,0,61906
beermonthclub.com,31,0,355094
begamer.com,121,0,344154
begen.co,4,0,119492
behpardazan.com,14,0,501589
bejomi1.wordpress.com,29,0,448663
bekaran.com,15,0,285672
bela.co.il,1,0,696079
bellababyphotography.com,11,0,247630
bellabox.com.au,31,0,725815
bellechic.com,31,0,282191
bellybutton.de,29,0,533882
bellycard.com,22,0,370550
belong.com.au,1,0,95521
belovedshirts.com,31,0,141820
bench.co,15,0,113646
bendbulletin.com,30,0,152588
beneficiosnaturais.com.br,1,0,410889
benefitsystems.pl,25,0,126001
bentley.com,130,0,28196
benzinga.com,33,0,22724
berecruited.com,31,0,156735
bergfuerst.com,16,0,411450
berghs.se,31,0,853513
berkshireblanket.com,31,0,384638
berliner-woche.de,30,0,153891
berlinersingles.de,31,0,546175
berlinpass.com,30,30,645899
bernina.com,5,0,81249
best2serve.com,5,0,182260
bestmobileappawards.com,21,0,924605
bestpresent.jp,31,0,174168
bestpricenutrition.com,11,0,220159
bestsellingcarsblog.com,2,0,455404
bestskinsever.com,31,0,552566
beszamolok.com,60,0,14228
betabrand.com,93,93,43085
betadvisor.com,112,0,174716
betheboss.ca,2,0,878850
bethelmusic.com,26,0,119994
betshoot.com,90,0,106744
betsson.com,1,1,19484
betterbatt.com.au,31,0,320923
betterbraces.com,15,0,151775
bettercloud.com,30,0,29688
betterdoctor.com,110,0,832089
betterhelp.com,31,0,35827
betterplace.org,31,0,144528
bettingexpert.com,91,0,28753
bettshow.com,31,0,250174
bettymills.com,23,0,225526
bettys.co.uk,31,0,269297
beyondbank.com.au,2,0,101679
beyondblackwhite.com,2,0,408906
beyondyourblog.com,31,0,715071
bezaat.com,118,0,20791
bhcosmetics.de,29,0,390158
bhg.com,4,0,5586
biallo.de,4,0,144432
bicycling.com,3,0,24845
bid-on-equipment.com,31,0,431667
bidaway.com,1,0,837075
bidsketch.com,112,0,102215
bidvestbank.co.za,31,0,263864
bielmeier-hausgeraete.com,5,0,504135
bigbang.si,1,0,52062
bigbarker.com,45,0,964395
bigbash.com.au,1,0,165627
bigceramicstore.com,4,0,138825
bigcommerce.com,4,0,4445
biggerpockets.com,92,3,11632
bigstockphoto.com,124,29,9230
bigtime.net,8,0,149048
bilbasen.dk,171,157,26522
bild.de,13,0,654
bill.com,3,0,20525
billiger.de,115,0,14510
billionauto.com,2,0,576732
billpocket.com,6,0,496310
bills.com,31,30,453542
billybear4kids.com,27,0,441094
billykirk.com,3,0,637701
bimmian.com,2,0,539584
binarytilt.com,31,0,883868
bindertek.com,27,0,909988
bingolotto.se,1,0,487765
biocare.sk,31,0,375043
biofitt.com,31,0,737933
biooncology.com,31,0,869433
biotherm-usa.com,31,0,219150
biriz.biz,33,0,233007
birst.com,31,0,173813
biscuiteers.com,31,0,362700
bisnow.com,31,0,46761
bisselldirect.co.uk,31,0,555206
bissellrental.com,31,0,639191
bitbucket.org,10,10,918
bitcoingg.com,2,0,441788
bitmedianetwork.com,3,0,904
bitpesa.co,14,0,286072
bitpipe.com,31,31,76402
bitsdujour.com,93,0,68859
bittorrent.com,236,193,1592
biyolojisitesi.net,29,0,332906
bizbuildermastery.net,1,0,484970
bizbuysell.com,91,0,32695
bizible.com,1,0,110951
bizquest.com,45,0,95320
bizreach.jp,35,0,24684
bizzarrobazar.com,22,0,834995
bjobs.ir,31,0,132005
bkconnection.com,31,0,276287
bkdelivers.com,3,0,735031
blackanddecker.com,2,0,87654
blackforestdecor.com,31,0,329981
blacklapel.com,31,0,135353
blackspectacles.com,4,0,239079
blahoo.net,93,0,343984
blakeshelton.com,63,0,361479
blamper.ru,25,0,27736
blauer.com,31,0,253795
blazemeter.com,124,0,65691
bleacherreport.com,309,0,660
blendtec.com,33,0,115900
blickamabend.ch,57,0,62683
blindschalet.com,31,0,377157
blindsgalore.com,9,0,257222
